,ds,yhat_upper,yhat
1246,2025-01-19,2.0,1.0
1247,2025-01-20,2.0,1.0
1248,2025-01-21,2.0,1.0
1249,2025-01-22,2.0,1.0
1250,2025-01-23,2.0,0.0
1251,2025-01-24,1.0,0.0
1252,2025-01-25,2.0,1.0
1253,2025-01-26,2.0,1.0
1254,2025-01-27,2.0,1.0
1255,2025-01-28,2.0,1.0
1256,2025-01-29,2.0,1.0
1257,2025-01-30,1.0,0.0
1258,2025-01-31,1.0,0.0
1259,2025-02-01,2.0,1.0
1260,2025-02-02,2.0,1.0
1261,2025-02-03,2.0,1.0
1262,2025-02-04,2.0,1.0
1263,2025-02-05,2.0,1.0
1264,2025-02-06,1.0,0.0
1265,2025-02-07,2.0,0.0
1266,2025-02-08,2.0,1.0
1267,2025-02-09,2.0,1.0
1268,2025-02-10,2.0,1.0
1269,2025-02-11,2.0,1.0
1270,2025-02-12,2.0,1.0
1271,2025-02-13,2.0,1.0
1272,2025-02-14,1.0,0.0
1273,2025-02-15,2.0,1.0
1274,2025-02-16,2.0,1.0
1275,2025-02-17,2.0,1.0
1276,2025-02-18,2.0,1.0
1277,2025-02-19,2.0,1.0
1278,2025-02-20,2.0,1.0
1279,2025-02-21,2.0,1.0
1280,2025-02-22,2.0,1.0
1281,2025-02-23,2.0,1.0
1282,2025-02-24,2.0,1.0
1283,2025-02-25,2.0,1.0
1284,2025-02-26,2.0,1.0
1285,2025-02-27,2.0,1.0
1286,2025-02-28,2.0,1.0
1287,2025-03-01,2.0,1.0
1288,2025-03-02,2.0,1.0
1289,2025-03-03,2.0,1.0
1290,2025-03-04,2.0,1.0
1291,2025-03-05,2.0,1.0
1292,2025-03-06,2.0,1.0
1293,2025-03-07,2.0,1.0
1294,2025-03-08,2.0,1.0
1295,2025-03-09,2.0,1.0
1296,2025-03-10,2.0,1.0
1297,2025-03-11,2.0,1.0
1298,2025-03-12,2.0,1.0
1299,2025-03-13,2.0,1.0
1300,2025-03-14,2.0,1.0
1301,2025-03-15,2.0,1.0
1302,2025-03-16,2.0,1.0
1303,2025-03-17,2.0,1.0
1304,2025-03-18,2.0,1.0
1305,2025-03-19,2.0,1.0
1306,2025-03-20,2.0,1.0
1307,2025-03-21,2.0,1.0
1308,2025-03-22,2.0,1.0
1309,2025-03-23,2.0,1.0
1310,2025-03-24,2.0,1.0
1311,2025-03-25,2.0,1.0
1312,2025-03-26,2.0,1.0
1313,2025-03-27,2.0,1.0
1314,2025-03-28,2.0,1.0
1315,2025-03-29,2.0,1.0
1316,2025-03-30,2.0,1.0
1317,2025-03-31,2.0,1.0
1318,2025-04-01,2.0,1.0
1319,2025-04-02,2.0,1.0
1320,2025-04-03,2.0,1.0
1321,2025-04-04,2.0,1.0
1322,2025-04-05,2.0,1.0
1323,2025-04-06,2.0,1.0
1324,2025-04-07,2.0,1.0
1325,2025-04-08,2.0,1.0
1326,2025-04-09,2.0,1.0
